id,title,author,location,section,category_name,available,image
257,Guide to Sustainable Living,Ivan Johnson,"1st floor, 5th compartment, 4th box",Section-E(BBA/MBA),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BSustainable%2BLiving
258,Advanced Ancient Civilizations,Eve Smith,"3rd floor, 2nd compartment, 2nd box",Section-B(Pharmacy),Research Paper,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BAncient%2BCivilizations
259,Introduction to Financial Markets,Bob Jones,"3rd floor, 5th compartment, 3rd box",Section-C (Agriculture),Article,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BFinancial%2BMarkets
260,Guide to Data Science,Heidi Davis,"2nd floor, 1st compartment, 1st box",Section-D(Politics),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BData%2BScience
261,The Secret Financial Markets,Charlie Williams,"2nd floor, 3rd compartment, 3rd box",Section-C (Agriculture),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BFinancial%2BMarkets
262,Mystery of Blockchain,Alice Brown,"4th floor, 1st compartment, 5th box",Section-B(Pharmacy),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BBlockchain
263,Understanding Quantum Mechanics,Alice Brown,"3rd floor, 2nd compartment, 3rd box",Section-D(Politics),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BQuantum%2BMechanics
264,Mystery of Ancient Civilizations,Frank Wilson,"2nd floor, 2nd compartment, 8th box",Section-B(Pharmacy),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BAncient%2BCivilizations
265,Mystery of Ancient Civilizations,Judy Miller,"4th floor, 4th compartment, 3rd box",Section-D(Politics),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BAncient%2BCivilizations
266,Adventures in Modern Physics,Frank Brown,"3rd floor, 4th compartment, 1st box",Section-D(Politics),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BModern%2BPhysics
267,Guide to Blockchain,Alice Brown,"4th floor, 3rd compartment, 7th box",Section-B(Pharmacy),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BBlockchain
268,Journey to Digital Marketing,Eve Williams,"4th floor, 1st compartment, 7th box",Section-A (Computer Science),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BDigital%2BMarketing
269,Mystery of Modern Physics,Diana Williams,"4th floor, 4th compartment, 6th box",Section-A (Computer Science),Biography,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BModern%2BPhysics
270,Guide to Digital Marketing,Grace Davis,"4th floor, 3rd compartment, 7th box",Section-B(Pharmacy),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BDigital%2BMarketing
271,Science of Machine Learning,Alice Moore,"2nd floor, 3rd compartment, 8th box",Section-E(BBA/MBA),Thriller,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BMachine%2BLearning
272,Guide to Modern Physics,Grace Taylor,"4th floor, 4th compartment, 7th box",Section-A (Computer Science),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BModern%2BPhysics
273,The Secret Modern Physics,Eve Davis,"2nd floor, 3rd compartment, 1st box",Section-D(Politics),Biography,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BModern%2BPhysics
274,Advanced Modern Physics,Diana Brown,"4th floor, 2nd compartment, 2nd box",Section-E(BBA/MBA),Self-Help,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BModern%2BPhysics
275,Science of Machine Learning,Heidi Taylor,"4th floor, 5th compartment, 6th box",Section-E(BBA/MBA),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BMachine%2BLearning
276,Guide to Data Science,Ivan Wilson,"3rd floor, 5th compartment, 5th box",Section-B(Pharmacy),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BData%2BScience
277,Exploring the Stars,Bob Taylor,"1st floor, 2nd compartment, 3rd box",Section-A (Computer Science),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2Bthe%2BStars
278,Art of Machine Learning,Charlie Smith,"2nd floor, 1st compartment, 8th box",Section-B(Pharmacy),Self-Help,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BMachine%2BLearning
279,Fundamentals of the Stars,Frank Davis,"4th floor, 5th compartment, 1st box",Section-D(Politics),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2Bthe%2BStars
280,Adventures in Digital Marketing,Ivan Moore,"1st floor, 2nd compartment, 2nd box",Section-C (Agriculture),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BDigital%2BMarketing
281,Introduction to Sustainable Living,Ivan Taylor,"2nd floor, 3rd compartment, 4th box",Section-E(BBA/MBA),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BSustainable%2BLiving
282,Advanced Machine Learning,Diana Wilson,"3rd floor, 2nd compartment, 2nd box",Section-C (Agriculture),Biography,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BMachine%2BLearning
283,Science of Financial Markets,Bob Wilson,"3rd floor, 4th compartment, 1st box",Section-E(BBA/MBA),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BFinancial%2BMarkets
284,Fundamentals of Machine Learning,Ivan Miller,"2nd floor, 4th compartment, 8th box",Section-D(Politics),Business,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BMachine%2BLearning
285,Art of Data Science,Charlie Wilson,"3rd floor, 5th compartment, 4th box",Section-A (Computer Science),Business,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BData%2BScience
286,Adventures in Sustainable Living,Grace Jones,"4th floor, 2nd compartment, 6th box",Section-E(BBA/MBA),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BSustainable%2BLiving
287,Fundamentals of Modern Physics,Eve Johnson,"3rd floor, 1st compartment, 2nd box",Section-E(BBA/MBA),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BModern%2BPhysics
288,Science of Blockchain,Ivan Davis,"4th floor, 3rd compartment, 5th box",Section-D(Politics),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BBlockchain
289,Chronicles of the Stars,Bob Jones,"3rd floor, 2nd compartment, 6th box",Section-C (Agriculture),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2Bthe%2BStars
290,Fundamentals of Quantum Mechanics,Eve Williams,"2nd floor, 1st compartment, 7th box",Section-A (Computer Science),Article,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BQuantum%2BMechanics
291,History of Financial Markets,Heidi Miller,"3rd floor, 3rd compartment, 1st box",Section-C (Agriculture),Article,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BFinancial%2BMarkets
292,Introduction to Quantum Mechanics,Heidi Jones,"1st floor, 4th compartment, 3rd box",Section-E(BBA/MBA),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BQuantum%2BMechanics
293,Introduction to Blockchain,Heidi Jones,"4th floor, 2nd compartment, 6th box",Section-D(Politics),Self-Help,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BBlockchain
294,Advanced Human Behavior,Ivan Brown,"3rd floor, 1st compartment, 5th box",Section-E(BBA/MBA),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BHuman%2BBehavior
295,Advanced Artificial Intelligence,Alice Wilson,"1st floor, 1st compartment, 4th box",Section-B(Pharmacy),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BArtificial%2BIntelligence
296,Adventures in Ancient Civilizations,Frank Jones,"4th floor, 5th compartment, 5th box",Section-D(Politics),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BAncient%2BCivilizations
297,Mystery of Machine Learning,Bob Williams,"1st floor, 5th compartment, 4th box",Section-C (Agriculture),Thriller,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BMachine%2BLearning
298,Chronicles of Data Science,Diana Taylor,"2nd floor, 2nd compartment, 6th box",Section-C (Agriculture),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BData%2BScience
299,Science of Artificial Intelligence,Eve Brown,"2nd floor, 4th compartment, 4th box",Section-C (Agriculture),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BArtificial%2BIntelligence
300,Adventures in Digital Marketing,Heidi Smith,"4th floor, 5th compartment, 8th box",Section-C (Agriculture),Manual,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BDigital%2BMarketing
301,Understanding Human Behavior,Grace Taylor,"1st floor, 3rd compartment, 5th box",Section-C (Agriculture),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BHuman%2BBehavior
302,Journey to Artificial Intelligence,Eve Miller,"3rd floor, 1st compartment, 6th box",Section-D(Politics),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BArtificial%2BIntelligence
303,Exploring Digital Marketing,Charlie Moore,"3rd floor, 3rd compartment, 1st box",Section-E(BBA/MBA),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BDigital%2BMarketing
304,The Secret Human Behavior,Alice Johnson,"3rd floor, 3rd compartment, 2nd box",Section-C (Agriculture),Research Paper,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BHuman%2BBehavior
305,The Secret Ancient Civilizations,Judy Wilson,"2nd floor, 1st compartment, 8th box",Section-B(Pharmacy),Article,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BAncient%2BCivilizations
306,Art of Sustainable Living,Bob Wilson,"4th floor, 5th compartment, 6th box",Section-D(Politics),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BSustainable%2BLiving
307,Fundamentals of Ancient Civilizations,Ivan Taylor,"1st floor, 2nd compartment, 7th box",Section-E(BBA/MBA),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BAncient%2BCivilizations
308,The Secret Ancient Civilizations,Ivan Smith,"3rd floor, 5th compartment, 3rd box",Section-E(BBA/MBA),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BAncient%2BCivilizations
309,Mystery of Financial Markets,Eve Taylor,"4th floor, 1st compartment, 5th box",Section-B(Pharmacy),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BFinancial%2BMarkets
310,Journey to Artificial Intelligence,Bob Brown,"2nd floor, 5th compartment, 3rd box",Section-D(Politics),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BArtificial%2BIntelligence
311,Science of the Stars,Grace Wilson,"2nd floor, 1st compartment, 7th box",Section-E(BBA/MBA),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2Bthe%2BStars
312,Art of Quantum Mechanics,Grace Wilson,"1st floor, 1st compartment, 6th box",Section-D(Politics),Science and Technology,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BQuantum%2BMechanics
313,Science of Modern Physics,Charlie Brown,"1st floor, 3rd compartment, 2nd box",Section-D(Politics),Article,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BModern%2BPhysics
314,Advanced Ancient Civilizations,Heidi Taylor,"3rd floor, 2nd compartment, 2nd box",Section-A (Computer Science),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BAncient%2BCivilizations
315,Journey to Digital Marketing,Diana Taylor,"4th floor, 5th compartment, 8th box",Section-E(BBA/MBA),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BDigital%2BMarketing
316,Art of Digital Marketing,Charlie Miller,"1st floor, 3rd compartment, 3rd box",Section-B(Pharmacy),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BDigital%2BMarketing
317,Journey to Blockchain,Diana Moore,"1st floor, 1st compartment, 1st box",Section-A (Computer Science),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BBlockchain
318,Advanced Sustainable Living,Judy Jones,"2nd floor, 5th compartment, 2nd box",Section-C (Agriculture),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BSustainable%2BLiving
319,Exploring Ancient Civilizations,Diana Jones,"2nd floor, 1st compartment, 5th box",Section-B(Pharmacy),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BAncient%2BCivilizations
320,Chronicles of Modern Physics,Frank Taylor,"4th floor, 5th compartment, 7th box",Section-B(Pharmacy),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BModern%2BPhysics
321,The Secret the Stars,Heidi Miller,"1st floor, 3rd compartment, 1st box",Section-E(BBA/MBA),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2Bthe%2BStars
322,Journey to Data Science,Ivan Davis,"1st floor, 3rd compartment, 7th box",Section-C (Agriculture),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BData%2BScience
323,Advanced Sustainable Living,Alice Moore,"2nd floor, 4th compartment, 3rd box",Section-B(Pharmacy),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BSustainable%2BLiving
324,Introduction to Sustainable Living,Frank Smith,"3rd floor, 5th compartment, 1st box",Section-B(Pharmacy),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BSustainable%2BLiving
325,Adventures in Artificial Intelligence,Bob Williams,"4th floor, 1st compartment, 2nd box",Section-B(Pharmacy),Manual,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BArtificial%2BIntelligence
326,The Secret Artificial Intelligence,Heidi Jones,"2nd floor, 1st compartment, 5th box",Section-B(Pharmacy),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BArtificial%2BIntelligence
327,Mystery of Quantum Mechanics,Grace Smith,"3rd floor, 4th compartment, 6th box",Section-C (Agriculture),Business,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BQuantum%2BMechanics
328,Chronicles of Modern Physics,Charlie Taylor,"2nd floor, 4th compartment, 4th box",Section-C (Agriculture),Research Paper,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BModern%2BPhysics
329,Journey to Quantum Mechanics,Alice Miller,"3rd floor, 4th compartment, 8th box",Section-A (Computer Science),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BQuantum%2BMechanics
330,Science of the Stars,Judy Davis,"3rd floor, 2nd compartment, 7th box",Section-C (Agriculture),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2Bthe%2BStars
331,Fundamentals of Sustainable Living,Alice Brown,"1st floor, 1st compartment, 1st box",Section-E(BBA/MBA),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BSustainable%2BLiving
332,The Secret the Stars,Frank Taylor,"1st floor, 1st compartment, 4th box",Section-E(BBA/MBA),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2Bthe%2BStars
333,History of Ancient Civilizations,Grace Johnson,"2nd floor, 1st compartment, 3rd box",Section-D(Politics),Business,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BAncient%2BCivilizations
334,Art of Artificial Intelligence,Bob Moore,"4th floor, 3rd compartment, 4th box",Section-C (Agriculture),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BArtificial%2BIntelligence
335,History of the Stars,Charlie Wilson,"3rd floor, 1st compartment, 3rd box",Section-A (Computer Science),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2Bthe%2BStars
336,The Secret Human Behavior,Bob Smith,"2nd floor, 1st compartment, 6th box",Section-B(Pharmacy),Biography,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BHuman%2BBehavior
337,History of Quantum Mechanics,Frank Johnson,"4th floor, 1st compartment, 7th box",Section-E(BBA/MBA),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BQuantum%2BMechanics
338,Introduction to the Stars,Grace Williams,"2nd floor, 4th compartment, 5th box",Section-E(BBA/MBA),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2Bthe%2BStars
339,Science of Sustainable Living,Heidi Smith,"1st floor, 1st compartment, 1st box",Section-C (Agriculture),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BSustainable%2BLiving
340,Mystery of Artificial Intelligence,Grace Brown,"3rd floor, 5th compartment, 3rd box",Section-D(Politics),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BArtificial%2BIntelligence
341,Exploring Financial Markets,Ivan Miller,"2nd floor, 5th compartment, 4th box",Section-D(Politics),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BFinancial%2BMarkets
342,Introduction to Blockchain,Eve Johnson,"2nd floor, 4th compartment, 8th box",Section-C (Agriculture),Self-Help,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BBlockchain
343,Fundamentals of Artificial Intelligence,Grace Davis,"1st floor, 3rd compartment, 4th box",Section-C (Agriculture),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BArtificial%2BIntelligence
344,Mystery of Sustainable Living,Judy Jones,"2nd floor, 2nd compartment, 1st box",Section-E(BBA/MBA),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BSustainable%2BLiving
345,Exploring Financial Markets,Eve Moore,"2nd floor, 3rd compartment, 7th box",Section-C (Agriculture),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BFinancial%2BMarkets
346,Art of Machine Learning,Grace Moore,"3rd floor, 2nd compartment, 7th box",Section-B(Pharmacy),Biography,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BMachine%2BLearning
347,Exploring the Stars,Diana Smith,"3rd floor, 5th compartment, 8th box",Section-E(BBA/MBA),Self-Help,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2Bthe%2BStars
348,Introduction to Blockchain,Bob Johnson,"3rd floor, 5th compartment, 6th box",Section-B(Pharmacy),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BBlockchain
349,Understanding Blockchain,Eve Moore,"1st floor, 2nd compartment, 7th box",Section-A (Computer Science),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BBlockchain
350,Mystery of Financial Markets,Judy Miller,"2nd floor, 1st compartment, 5th box",Section-B(Pharmacy),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BFinancial%2BMarkets
351,Fundamentals of Blockchain,Judy Moore,"2nd floor, 3rd compartment, 1st box",Section-E(BBA/MBA),Biography,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BBlockchain
352,Guide to the Stars,Judy Williams,"3rd floor, 5th compartment, 1st box",Section-C (Agriculture),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2Bthe%2BStars
353,Guide to Machine Learning,Judy Williams,"2nd floor, 3rd compartment, 8th box",Section-E(BBA/MBA),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BMachine%2BLearning
354,Mystery of Human Behavior,Bob Jones,"3rd floor, 4th compartment, 5th box",Section-B(Pharmacy),Thriller,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BHuman%2BBehavior
355,Understanding the Stars,Ivan Jones,"2nd floor, 3rd compartment, 1st box",Section-B(Pharmacy),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2Bthe%2BStars
356,Mystery of Modern Physics,Grace Smith,"3rd floor, 4th compartment, 1st box",Section-A (Computer Science),Manual,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BModern%2BPhysics
357,The Secret Ancient Civilizations,Judy Davis,"2nd floor, 4th compartment, 5th box",Section-D(Politics),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BAncient%2BCivilizations
358,Exploring Ancient Civilizations,Judy Williams,"1st floor, 4th compartment, 4th box",Section-D(Politics),Science and Technology,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BAncient%2BCivilizations
359,Guide to Artificial Intelligence,Judy Moore,"3rd floor, 4th compartment, 3rd box",Section-A (Computer Science),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BArtificial%2BIntelligence
360,Advanced Digital Marketing,Eve Williams,"4th floor, 1st compartment, 7th box",Section-C (Agriculture),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BDigital%2BMarketing
361,Guide to the Stars,Ivan Jones,"4th floor, 3rd compartment, 1st box",Section-D(Politics),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2Bthe%2BStars
362,Mystery of Blockchain,Charlie Miller,"3rd floor, 1st compartment, 1st box",Section-E(BBA/MBA),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BBlockchain
363,Exploring Digital Marketing,Bob Wilson,"2nd floor, 1st compartment, 4th box",Section-A (Computer Science),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BDigital%2BMarketing
364,Journey to the Stars,Eve Moore,"3rd floor, 2nd compartment, 3rd box",Section-A (Computer Science),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2Bthe%2BStars
365,Journey to Financial Markets,Charlie Johnson,"3rd floor, 4th compartment, 8th box",Section-C (Agriculture),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BFinancial%2BMarkets
366,Introduction to Modern Physics,Bob Johnson,"1st floor, 3rd compartment, 6th box",Section-A (Computer Science),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BModern%2BPhysics
367,Science of Data Science,Alice Wilson,"3rd floor, 5th compartment, 8th box",Section-B(Pharmacy),Business,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BData%2BScience
368,Introduction to Blockchain,Ivan Miller,"1st floor, 5th compartment, 8th box",Section-B(Pharmacy),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BBlockchain
369,The Secret Financial Markets,Heidi Johnson,"4th floor, 1st compartment, 8th box",Section-A (Computer Science),Thriller,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BFinancial%2BMarkets
370,Adventures in Ancient Civilizations,Heidi Moore,"2nd floor, 3rd compartment, 6th box",Section-E(BBA/MBA),Research Paper,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BAncient%2BCivilizations
371,Chronicles of Artificial Intelligence,Diana Wilson,"2nd floor, 5th compartment, 3rd box",Section-D(Politics),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BArtificial%2BIntelligence
372,Mystery of Financial Markets,Eve Wilson,"1st floor, 4th compartment, 8th box",Section-D(Politics),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BFinancial%2BMarkets
373,Journey to Digital Marketing,Frank Smith,"3rd floor, 1st compartment, 5th box",Section-A (Computer Science),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BDigital%2BMarketing
374,Exploring Artificial Intelligence,Frank Johnson,"4th floor, 5th compartment, 3rd box",Section-C (Agriculture),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BArtificial%2BIntelligence
375,Exploring Modern Physics,Grace Jones,"2nd floor, 5th compartment, 7th box",Section-C (Agriculture),Manual,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BModern%2BPhysics
376,Adventures in Machine Learning,Grace Brown,"1st floor, 5th compartment, 6th box",Section-D(Politics),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BMachine%2BLearning
377,Art of Machine Learning,Alice Brown,"3rd floor, 5th compartment, 4th box",Section-C (Agriculture),Research Paper,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BMachine%2BLearning
378,Chronicles of Quantum Mechanics,Grace Williams,"3rd floor, 3rd compartment, 7th box",Section-A (Computer Science),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BQuantum%2BMechanics
379,Adventures in Machine Learning,Heidi Taylor,"2nd floor, 3rd compartment, 4th box",Section-E(BBA/MBA),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BMachine%2BLearning
380,Advanced Quantum Mechanics,Judy Johnson,"1st floor, 4th compartment, 3rd box",Section-D(Politics),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BQuantum%2BMechanics
381,Understanding Financial Markets,Grace Jones,"3rd floor, 1st compartment, 6th box",Section-D(Politics),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BFinancial%2BMarkets
382,History of Ancient Civilizations,Eve Jones,"1st floor, 1st compartment, 2nd box",Section-C (Agriculture),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BAncient%2BCivilizations
383,Journey to Modern Physics,Judy Moore,"3rd floor, 3rd compartment, 3rd box",Section-E(BBA/MBA),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BModern%2BPhysics
